ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-09-09T23:36:50.000,0.37,190.52,-0.36,-0.07
2023-09-09T23:51:50.000,0.13,161.97,-0.12,0.04
2023-09-10T00:06:50.000,0.15,101.62,-0.03,0.15
2023-09-10T00:21:50.000,0.13,141.13,-0.10,0.08
2023-09-10T00:36:50.000,0.07,140.12,-0.05,0.04
2023-09-10T00:51:50.000,0.16,164.16,-0.16,0.04
2023-09-10T01:06:50.000,0.08,138.53,-0.06,0.06
2023-09-10T01:21:50.000,0.28,173.23,-0.27,0.03
2023-09-10T01:36:50.000,0.15,178.59,-0.15,0.00
2023-09-10T01:51:50.000,0.18,254.26,-0.05,-0.17
2023-09-10T02:06:50.000,0.36,220.20,-0.27,-0.23
2023-09-10T02:21:50.000,0.30,216.83,-0.24,-0.18
2023-09-10T02:36:50.000,0.20,247.08,-0.08,-0.18
2023-09-10T02:51:50.000,0.22,225.15,-0.16,-0.16
2023-09-10T03:06:50.000,0.12,283.05,0.03,-0.12
2023-09-10T03:21:50.000,0.09,244.24,-0.04,-0.08
2023-09-10T03:36:50.000,0.18,221.66,-0.14,-0.12
2023-09-10T03:51:50.000,0.15,258.99,-0.03,-0.14
2023-09-10T04:06:50.000,0.13,254.93,-0.03,-0.13
2023-09-10T04:21:50.000,0.15,236.08,-0.08,-0.12
2023-09-10T04:36:50.000,0.11,233.75,-0.06,-0.09
2023-09-10T04:51:50.000,0.31,232.47,-0.19,-0.25
2023-09-10T05:06:50.000,0.11,199.13,-0.10,-0.04
2023-09-10T05:21:50.000,0.16,306.52,0.09,-0.13
2023-09-10T05:36:50.000,0.16,158.18,-0.15,0.06
2023-09-10T05:51:50.000,0.25,150.84,-0.22,0.12
2023-09-10T06:06:50.000,0.13,165.50,-0.12,0.03
2023-09-10T06:21:50.000,0.05,142.50,-0.04,0.03
2023-09-10T06:36:50.000,0.17,144.03,-0.14,0.10
2023-09-10T06:51:50.000,0.20,143.65,-0.16,0.12
2023-09-10T07:06:50.000,0.17,129.61,-0.11,0.13
2023-09-10T07:21:50.000,0.19,116.12,-0.09,0.17
2023-09-10T07:36:50.000,0.30,164.21,-0.29,0.08
2023-09-10T07:51:50.000,0.26,147.42,-0.22,0.14
2023-09-10T08:06:50.000,0.16,153.49,-0.14,0.07
2023-09-10T08:21:50.000,0.13,123.35,-0.07,0.11
2023-09-10T08:36:50.000,0.17,113.44,-0.07,0.16
2023-09-10T08:51:50.000,0.19,87.72,0.01,0.19
2023-09-10T09:06:50.000,0.11,133.12,-0.07,0.08
2023-09-10T09:21:50.000,0.21,154.20,-0.19,0.09
2023-09-10T09:36:50.000,0.19,172.81,-0.19,0.02
2023-09-10T09:51:50.000,0.24,164.06,-0.23,0.07
2023-09-10T10:06:50.000,0.14,156.09,-0.13,0.06
2023-09-10T10:21:50.000,0.07,156.17,-0.06,0.03
2023-09-10T10:36:50.000,0.56,151.90,-0.50,0.27
2023-09-10T10:51:50.000,0.22,168.22,-0.22,0.05
2023-09-10T11:06:50.000,0.18,102.09,-0.04,0.18
2023-09-10T11:21:50.000,0.14,351.24,0.14,-0.02
2023-09-10T11:36:50.000,0.25,141.90,-0.19,0.15
2023-09-10T11:51:50.000,0.32,142.57,-0.26,0.20
2023-09-10T12:06:50.000,0.25,167.72,-0.24,0.05
2023-09-10T12:21:50.000,0.46,102.96,-0.10,0.45
2023-09-10T12:36:50.000,0.85,157.43,-0.79,0.33
2023-09-10T12:51:50.000,0.57,174.20,-0.57,0.06
2023-09-10T13:06:50.000,0.96,163.50,-0.92,0.27
2023-09-10T13:21:50.000,0.37,188.91,-0.36,-0.06
2023-09-10T13:36:50.000,1.46,156.83,-1.34,0.57
2023-09-10T13:51:50.000,2.49,154.74,-2.25,1.06
2023-09-10T14:06:50.000,0.80,162.99,-0.77,0.23
2023-09-10T14:21:50.000,0.52,170.77,-0.51,0.08
2023-09-10T14:36:50.000,0.49,203.58,-0.45,-0.20
2023-09-10T14:51:50.000,0.42,148.90,-0.36,0.22
2023-09-10T15:06:50.000,0.18,200.09,-0.17,-0.06
2023-09-10T15:21:50.000,0.19,344.47,0.19,-0.05
2023-09-10T15:36:50.000,0.38,345.53,0.37,-0.10
2023-09-10T15:51:50.000,0.02,124.56,-0.01,0.02
2023-09-10T16:06:50.000,0.06,308.30,0.04,-0.05
2023-09-10T16:21:50.000,0.22,66.80,0.09,0.20
2023-09-10T16:36:50.000,0.47,23.74,0.43,0.19
2023-09-10T16:51:50.000,0.18,64.79,0.08,0.16
2023-09-10T17:06:50.000,0.04,91.86,-0.00,0.04
2023-09-10T17:21:50.000,0.41,17.93,0.39,0.13
2023-09-10T17:36:50.000,0.25,162.27,-0.24,0.08
2023-09-10T17:51:50.000,0.25,139.43,-0.19,0.16
2023-09-10T18:06:50.000,0.31,126.03,-0.18,0.25
2023-09-10T18:21:50.000,0.13,166.87,-0.13,0.03
2023-09-10T18:36:50.000,0.15,92.12,-0.01,0.15
2023-09-10T18:51:50.000,0.06,304.70,0.03,-0.05
2023-09-10T19:06:50.000,0.15,300.96,0.08,-0.13
2023-09-10T19:21:50.000,0.12,319.99,0.09,-0.08
2023-09-10T19:36:50.000,0.42,321.19,0.33,-0.26
2023-09-10T19:51:50.000,0.11,298.49,0.05,-0.09
2023-09-10T20:06:50.000,0.17,317.85,0.13,-0.12
2023-09-10T20:21:50.000,0.10,214.95,-0.08,-0.06
2023-09-10T20:36:50.000,0.25,349.48,0.25,-0.05
2023-09-10T20:51:50.000,0.20,290.33,0.07,-0.19
2023-09-10T21:06:50.000,0.18,299.40,0.09,-0.16
2023-09-10T21:21:50.000,0.15,277.13,0.02,-0.15
2023-09-10T21:36:50.000,0.13,262.21,-0.02,-0.13
2023-09-10T21:51:50.000,0.15,278.12,0.02,-0.14
2023-09-10T22:06:50.000,0.10,346.84,0.09,-0.02
2023-09-10T22:21:50.000,0.15,241.71,-0.07,-0.13
2023-09-10T22:36:50.000,0.11,322.26,0.08,-0.07
2023-09-10T22:51:50.000,0.11,246.87,-0.04,-0.10
2023-09-10T23:06:50.000,0.10,213.90,-0.08,-0.05
2023-09-10T23:21:50.000,0.16,342.44,0.15,-0.05
2023-09-10T23:36:50.000,0.13,244.06,-0.05,-0.11
2023-09-10T23:51:50.000,0.07,266.88,-0.00,-0.07
2023-09-11T00:06:50.000,0.11,207.44,-0.10,-0.05
2023-09-11T00:21:50.000,0.10,194.39,-0.09,-0.02
2023-09-11T00:36:50.000,0.11,292.10,0.04,-0.10
2023-09-11T00:51:50.000,0.07,231.14,-0.04,-0.05
2023-09-11T01:06:50.000,0.13,136.01,-0.09,0.09
2023-09-11T01:21:50.000,0.14,216.63,-0.12,-0.09
2023-09-11T01:36:50.000,0.01,76.60,0.00,0.01
2023-09-11T01:51:50.000,0.02,336.53,0.02,-0.01
2023-09-11T02:06:50.000,0.10,174.25,-0.10,0.01
2023-09-11T02:21:50.000,0.08,182.94,-0.08,-0.00
2023-09-11T02:36:50.000,0.04,278.07,0.01,-0.04
2023-09-11T02:51:50.000,0.11,199.00,-0.11,-0.04
2023-09-11T03:06:50.000,0.10,219.36,-0.08,-0.06
2023-09-11T03:21:50.000,0.20,202.11,-0.18,-0.07
2023-09-11T03:36:50.000,0.19,193.80,-0.19,-0.05
2023-09-11T03:51:50.000,0.09,220.76,-0.07,-0.06
2023-09-11T04:06:50.000,0.26,201.32,-0.24,-0.09
2023-09-11T04:21:50.000,0.10,237.48,-0.05,-0.08
2023-09-11T04:36:50.000,0.16,235.12,-0.09,-0.13
2023-09-11T04:51:50.000,0.08,301.14,0.04,-0.06
2023-09-11T05:06:50.000,0.19,185.44,-0.19,-0.02
2023-09-11T05:21:50.000,0.09,220.80,-0.07,-0.06
2023-09-11T05:36:50.000,0.21,255.02,-0.06,-0.21
2023-09-11T05:51:50.000,0.42,235.08,-0.24,-0.34
2023-09-11T06:06:50.000,0.12,222.53,-0.09,-0.08
2023-09-11T06:21:50.000,0.28,217.68,-0.22,-0.17
2023-09-11T06:36:50.000,0.13,207.01,-0.11,-0.06
2023-09-11T06:51:50.000,0.27,169.19,-0.26,0.05
2023-09-11T07:06:50.000,0.32,267.74,-0.01,-0.32
2023-09-11T07:21:50.000,0.28,261.82,-0.04,-0.27
2023-09-11T07:36:50.000,0.32,243.26,-0.15,-0.29
2023-09-11T07:51:50.000,0.61,242.26,-0.28,-0.54
2023-09-11T08:06:50.000,0.29,246.54,-0.12,-0.27
2023-09-11T08:21:50.000,0.39,239.55,-0.20,-0.34
2023-09-11T08:36:50.000,0.24,252.86,-0.07,-0.23
2023-09-11T08:51:50.000,0.26,256.82,-0.06,-0.25
2023-09-11T09:06:50.000,0.22,261.21,-0.03,-0.21
2023-09-11T09:21:50.000,0.25,246.39,-0.10,-0.22
2023-09-11T09:36:50.000,0.26,250.07,-0.09,-0.25
2023-09-11T09:51:50.000,0.26,269.54,-0.00,-0.26
2023-09-11T10:06:50.000,0.20,264.65,-0.02,-0.20
2023-09-11T10:21:50.000,0.20,266.92,-0.01,-0.20
2023-09-11T10:36:50.000,0.21,241.08,-0.10,-0.19
2023-09-11T10:51:50.000,0.28,254.68,-0.08,-0.27
2023-09-11T11:06:50.000,0.23,245.27,-0.10,-0.21
2023-09-11T11:21:50.000,0.70,268.58,-0.02,-0.70
2023-09-11T11:36:50.000,0.58,306.71,0.35,-0.46
2023-09-11T11:51:50.000,0.50,270.85,0.01,-0.50
2023-09-11T12:06:50.000,0.68,254.57,-0.18,-0.66
2023-09-11T12:21:50.000,0.28,228.31,-0.18,-0.21
2023-09-11T12:36:50.000,0.17,178.09,-0.17,0.01
2023-09-11T12:51:50.000,0.10,244.55,-0.04,-0.09
2023-09-11T13:06:50.000,0.09,209.73,-0.08,-0.04
2023-09-11T13:21:50.000,0.97,136.65,-0.71,0.67
2023-09-11T13:36:50.000,0.52,152.54,-0.46,0.24
2023-09-11T13:51:50.000,0.64,153.02,-0.57,0.29
2023-09-11T14:06:50.000,1.19,153.96,-1.07,0.52
2023-09-11T14:21:50.000,1.10,165.38,-1.06,0.28
2023-09-11T14:36:50.000,0.34,217.06,-0.27,-0.20
2023-09-11T14:51:50.000,0.47,126.33,-0.28,0.38
