ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-19T22:29:22.000,0.65,75.64,0.16,0.63
2023-08-19T22:44:22.000,0.65,116.84,-0.29,0.58
2023-08-19T22:59:22.000,0.31,70.79,0.1,0.3
2023-08-19T23:14:22.000,0.48,169.61,-0.47,0.09
2023-08-19T23:29:22.000,0.36,81.48,0.05,0.35
2023-08-19T23:44:22.000,0.34,89.92,0,0.34
2023-08-19T23:59:22.000,0.26,101.42,-0.05,0.25
2023-08-20T00:14:22.000,0.38,95.15,-0.03,0.38
2023-08-20T00:29:22.000,0.29,87.54,0.01,0.29
2023-08-20T00:44:22.000,0.38,105.52,-0.1,0.37
2023-08-20T00:59:22.000,0.37,174.19,-0.36,0.04
2023-08-20T01:14:22.000,0.19,133.06,-0.13,0.14
2023-08-20T01:29:22.000,0.06,14.76,0.06,0.01
2023-08-20T01:44:22.000,0.37,156.21,-0.34,0.15
2023-08-20T01:59:22.000,0.27,113.27,-0.11,0.25
2023-08-20T02:14:22.000,0.35,112.48,-0.14,0.33
2023-08-20T02:29:22.000,0.11,154.5,-0.1,0.05
2023-08-20T02:44:22.000,0.38,117.18,-0.17,0.34
2023-08-20T02:59:22.000,0.25,130.62,-0.16,0.19
2023-08-20T03:14:22.000,0.49,70.8,0.16,0.46
2023-08-20T03:29:22.000,0.27,135.37,-0.19,0.19
2023-08-20T03:44:22.000,0.25,79.58,0.04,0.24
2023-08-20T03:59:22.000,0.42,72.16,0.13,0.4
2023-08-20T04:14:22.000,0.36,35.99,0.29,0.21
2023-08-20T04:29:22.000,0.3,3.04,0.3,0.02
2023-08-20T04:44:22.000,0.33,350.84,0.32,-0.05
2023-08-20T04:59:22.000,0.19,105.68,-0.05,0.18
2023-08-20T05:14:22.000,0.21,103.85,-0.05,0.2
2023-08-20T05:29:22.000,0.29,83.8,0.03,0.29
2023-08-20T05:44:22.000,0.15,92.85,-0.01,0.15
2023-08-20T05:59:22.000,0.07,270.7,0,-0.07
2023-08-20T06:14:22.000,0.13,91.45,0,0.13
2023-08-20T06:29:22.000,0.04,42.87,0.03,0.03
2023-08-20T06:44:22.000,0.26,94.53,-0.02,0.26
2023-08-20T06:59:22.000,0.29,194.27,-0.28,-0.07
2023-08-20T07:14:22.000,0.3,45.01,0.21,0.21
2023-08-20T07:29:22.000,0.15,105.47,-0.04,0.15
2023-08-20T07:44:22.000,0.49,161.1,-0.46,0.16
2023-08-20T07:59:22.000,0.38,210.33,-0.33,-0.19
2023-08-20T08:14:22.000,0.49,175.03,-0.48,0.04
2023-08-20T08:29:22.000,0.36,168.24,-0.35,0.07
2023-08-20T08:44:22.000,0.11,188.93,-0.11,-0.02
2023-08-20T08:59:22.000,0.37,169.26,-0.36,0.07
2023-08-20T09:14:22.000,0.55,201.11,-0.52,-0.2
2023-08-20T09:29:22.000,0.28,157.82,-0.26,0.11
2023-08-20T09:44:22.000,0.49,162.83,-0.47,0.15
2023-08-20T09:59:22.000,0.42,148.35,-0.36,0.22
2023-08-20T10:14:22.000,0.41,78.51,0.08,0.4
2023-08-20T10:29:22.000,0.36,138.12,-0.26,0.24
2023-08-20T10:44:22.000,0.39,121.47,-0.2,0.33
2023-08-20T10:59:22.000,0.63,97.62,-0.08,0.62
2023-08-20T11:14:22.000,0.69,73.28,0.2,0.66
2023-08-20T11:29:22.000,1.98,134.13,-1.38,1.42
2023-08-20T11:44:22.000,0.14,114.77,-0.06,0.13
2023-08-20T11:59:22.000,0.63,106.19,-0.18,0.61
2023-08-20T12:14:22.000,0.52,110.71,-0.18,0.49
2023-08-20T12:29:22.000,0.56,157.24,-0.51,0.22
2023-08-20T12:44:22.000,0.28,133.32,-0.19,0.2
2023-08-20T12:59:22.000,0.53,83.84,0.06,0.53
2023-08-20T13:14:22.000,0.39,113.08,-0.15,0.36
2023-08-20T13:29:22.000,1.62,119.15,-0.79,1.42
2023-08-20T13:44:22.000,1.45,143.43,-1.16,0.86
2023-08-20T13:59:22.000,1.33,139.6,-1.01,0.86
2023-08-20T14:14:22.000,1.05,138.02,-0.78,0.71
2023-08-20T14:29:22.000,0.91,122.78,-0.49,0.77
2023-08-20T14:44:22.000,0.38,124.04,-0.22,0.32
2023-08-20T14:59:22.000,0.37,133.67,-0.26,0.27
2023-08-20T15:14:22.000,0.53,89.53,0,0.53
2023-08-20T15:29:22.000,0.65,56.03,0.36,0.54
2023-08-20T15:44:22.000,0.36,76.35,0.08,0.35
2023-08-20T15:59:22.000,0.38,78.11,0.08,0.37
2023-08-20T16:14:22.000,0.51,123.81,-0.28,0.42
2023-08-20T16:29:22.000,0.21,281.52,0.04,-0.2
2023-08-20T16:44:22.000,0.34,52.59,0.21,0.27
2023-08-20T16:59:22.000,0.35,137.06,-0.26,0.24
2023-08-20T17:14:22.000,0.31,34.31,0.25,0.17
2023-08-20T17:29:22.000,0.31,50.19,0.2,0.24
2023-08-20T17:44:22.000,0.19,87.33,0.01,0.19
2023-08-20T17:59:22.000,0.43,38.62,0.34,0.27
2023-08-20T18:14:22.000,0.27,168.11,-0.26,0.05
2023-08-20T18:29:22.000,0.27,67.44,0.1,0.25
2023-08-20T18:44:22.000,0.22,173.15,-0.22,0.03
2023-08-20T18:59:22.000,0.25,341.81,0.24,-0.08
2023-08-20T19:14:22.000,0.65,32.62,0.55,0.35
2023-08-20T19:29:22.000,0.31,105.32,-0.08,0.3
2023-08-20T19:44:22.000,0.19,346.56,0.18,-0.04
2023-08-20T19:59:22.000,0.31,116.82,-0.14,0.28
2023-08-20T20:14:22.000,0.77,27.2,0.68,0.35
2023-08-20T20:29:22.000,0.57,41.23,0.43,0.38
2023-08-20T20:44:22.000,0.48,30.56,0.41,0.24
2023-08-20T20:59:22.000,0.47,28.41,0.42,0.23
2023-08-20T21:14:22.000,0.39,19.8,0.36,0.13
2023-08-20T21:29:22.000,0.46,354.63,0.46,-0.04
2023-08-20T21:44:22.000,0.33,35.94,0.27,0.2
2023-08-20T21:59:22.000,0.84,346.72,0.82,-0.19
2023-08-20T22:14:22.000,0.57,23.76,0.52,0.23
2023-08-20T22:29:22.000,0.53,335.53,0.49,-0.22
2023-08-20T22:44:22.000,0.46,11.68,0.45,0.09
2023-08-20T22:59:22.000,0.58,1.31,0.58,0.01
2023-08-20T23:14:22.000,0.57,81.15,0.09,0.56
2023-08-20T23:29:22.000,0.36,3.87,0.36,0.02
2023-08-20T23:44:22.000,0.65,10.72,0.64,0.12
2023-08-20T23:59:22.000,0.44,31.8,0.37,0.23
2023-08-21T00:14:22.000,0.43,32.18,0.37,0.23
2023-08-21T00:29:22.000,0.45,13.4,0.44,0.1
2023-08-21T00:44:22.000,0.53,6.3,0.53,0.06
2023-08-21T00:59:22.000,0.48,12.87,0.47,0.11
2023-08-21T01:14:22.000,0.29,348.46,0.29,-0.06
2023-08-21T01:29:22.000,0.2,347.81,0.2,-0.04
2023-08-21T01:44:22.000,0.47,40.63,0.36,0.31
2023-08-21T01:59:22.000,0.55,307.17,0.33,-0.44
2023-08-21T02:14:22.000,0.33,352.13,0.32,-0.04
2023-08-21T02:29:22.000,0.41,258.51,-0.08,-0.4
2023-08-21T02:44:22.000,0.81,38.47,0.64,0.51
2023-08-21T02:59:22.000,1.1,317.85,0.82,-0.74
2023-08-21T03:14:22.000,1.31,324.73,1.07,-0.76
2023-08-21T03:29:22.000,1.37,314.97,0.97,-0.97
2023-08-21T03:44:22.000,0.15,227.05,-0.1,-0.11
2023-08-21T03:59:22.000,0.7,282.61,0.15,-0.68
2023-08-21T04:14:22.000,1.34,284.37,0.33,-1.3
2023-08-21T04:29:22.000,0.35,246.07,-0.14,-0.32
