ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-19T15:23:20.000,0.56,80.35,0.09,0.55
2023-08-19T15:38:20.000,0.32,113.84,-0.13,0.29
2023-08-19T15:53:20.000,0.96,40.56,0.73,0.62
2023-08-19T16:08:20.000,0.61,68.52,0.23,0.57
2023-08-19T16:23:20.000,0.50,59.97,0.25,0.43
2023-08-19T16:38:20.000,0.44,32.92,0.37,0.24
2023-08-19T16:53:20.000,0.35,319.28,0.26,-0.23
2023-08-19T17:08:20.000,0.26,60.42,0.13,0.23
2023-08-19T17:23:20.000,0.35,62.49,0.16,0.31
2023-08-19T17:38:20.000,0.14,132.41,-0.09,0.10
2023-08-19T17:53:20.000,0.25,109.63,-0.08,0.24
2023-08-19T18:08:20.000,0.40,335.30,0.36,-0.17
2023-08-19T18:23:20.000,0.17,130.40,-0.11,0.13
2023-08-19T18:38:20.000,0.27,123.16,-0.15,0.22
2023-08-19T18:53:20.000,0.22,133.60,-0.15,0.16
2023-08-19T19:08:20.000,0.13,23.21,0.12,0.05
2023-08-19T19:23:20.000,0.59,25.07,0.54,0.25
2023-08-19T19:38:20.000,0.16,2.84,0.16,0.01
2023-08-19T19:53:20.000,0.39,36.76,0.31,0.23
2023-08-19T20:08:20.000,0.35,23.44,0.32,0.14
2023-08-19T20:23:20.000,0.18,41.92,0.13,0.12
2023-08-19T20:38:20.000,0.18,80.24,0.03,0.17
2023-08-19T20:53:20.000,0.12,74.58,0.03,0.11
2023-08-19T21:08:20.000,0.18,33.53,0.15,0.10
2023-08-19T21:23:20.000,0.42,31.89,0.36,0.22
2023-08-19T21:38:20.000,0.25,52.07,0.15,0.19
2023-08-19T21:53:20.000,0.50,57.07,0.27,0.42
2023-08-19T22:08:20.000,0.05,37.91,0.04,0.03
2023-08-19T22:23:20.000,0.29,110.09,-0.10,0.27
2023-08-19T22:38:20.000,0.34,31.94,0.29,0.18
2023-08-19T22:53:20.000,0.32,22.21,0.30,0.12
2023-08-19T23:08:20.000,0.30,128.73,-0.19,0.23
2023-08-19T23:23:20.000,0.35,76.85,0.08,0.34
2023-08-19T23:38:20.000,0.43,54.12,0.25,0.35
2023-08-19T23:53:20.000,0.27,52.06,0.17,0.22
2023-08-20T00:08:20.000,0.19,121.15,-0.10,0.16
2023-08-20T00:23:20.000,0.03,78.88,0.01,0.03
2023-08-20T00:38:20.000,0.33,64.73,0.14,0.30
2023-08-20T00:53:20.000,0.20,33.56,0.17,0.11
2023-08-20T01:08:20.000,0.31,114.44,-0.13,0.28
2023-08-20T01:23:20.000,0.01,58.45,0.00,0.01
2023-08-20T01:38:20.000,0.09,352.04,0.09,-0.01
2023-08-20T01:53:20.000,0.10,23.18,0.10,0.04
2023-08-20T02:08:20.000,0.23,129.45,-0.15,0.18
2023-08-20T02:23:20.000,0.10,6.11,0.10,0.01
2023-08-20T02:38:20.000,0.11,20.19,0.10,0.04
2023-08-20T02:53:20.000,0.35,87.28,0.02,0.35
2023-08-20T03:08:20.000,0.18,84.75,0.02,0.18
2023-08-20T03:23:20.000,0.40,9.45,0.39,0.06
2023-08-20T03:38:20.000,0.20,49.99,0.13,0.16
2023-08-20T03:53:20.000,0.15,56.00,0.08,0.12
2023-08-20T04:08:20.000,0.49,15.03,0.47,0.13
2023-08-20T04:23:20.000,0.42,324.88,0.34,-0.24
2023-08-20T04:38:20.000,0.56,324.76,0.46,-0.32
2023-08-20T04:53:20.000,0.29,280.86,0.06,-0.29
2023-08-20T05:08:20.000,0.24,88.87,0.00,0.24
2023-08-20T05:23:20.000,0.13,10.84,0.13,0.03
2023-08-20T05:38:20.000,0.17,57.92,0.09,0.14
2023-08-20T05:53:20.000,0.22,86.65,0.01,0.22
2023-08-20T06:08:20.000,0.14,33.67,0.12,0.08
